WL,SHIFT
9.64425,4.65E-05
9.6839,-0.000787467
9.89885,-0.000935614
10.0569,-0.00100632
10.1128,-0.000490362
10.3196,-0.000624767
10.3824,-0.000438945
10.4256,-0.000378712
10.4615,-0.00036712
10.4795,-0.00048967
10.5855,-0.00083995
10.6621,-0.000524527
10.7261,-0.000489903
10.7649,-0.000292147
10.8482,-0.000658055
10.8848,-0.00051434
10.9367,-0.000352948
10.9799,-0.000408316
11.0319,-0.00052974
11.1785,-0.000507392
11.2536,-0.000334655
11.2686,-0.000546021
11.3241,-0.000506523
11.3819,-0.000492862
11.4296,-0.00041622
11.4543,-0.000476001
11.6326,-0.00075588
11.7015,-0.000584551
11.7278,-0.000481174
11.8215,-0.000848695
11.9685,-0.00111694
12.0855,-0.00101618
12.2483,-0.000806508
12.2769,-0.000808971
12.4017,-0.000863683
12.4487,-0.00110281
12.5605,-0.000883696
12.5969,-0.000193616
12.7304,-0.00105289
12.7534,-0.00133149
12.8708,-0.00107796
12.8946,-0.00101936
12.9861,-0.00108137
13.0382,-0.00117891
13.1332,-0.00123762
13.3124,-0.00130239
13.4318,-0.000640335
13.4521,-1.72E-05
13.4732,-0.000208419
13.5061,-0.000467313
13.6058,-0.000711172
13.6507,-0.000360381
13.6873,-0.00030924
13.7672,-0.000611923
13.9142,1.07E-05
13.9555,-0.000356564
14.1185,-0.000168754
14.1695,-0.000542005
14.2047,-0.000370989
14.2438,-0.000424532
14.3464,-0.000407801
14.4025,-0.000647104
14.4277,-0.000621165
14.4668,1.06E-05
14.5125,-0.000686853
14.5329,-0.00072066
14.6032,-0.000583482
14.6879,-0.00106044
14.7902,-0.00109312
14.8657,-0.000831359
14.8904,-0.00105463
14.9221,-0.00122523
15.0061,-0.000862029
15.1414,-0.000581115
15.3288,-0.000867211
15.3482,-0.00108631
15.4179,-0.00198657
15.4527,-0.00172595
15.5222,-0.00135227
15.5656,-0.000947793
15.6255,-0.00143241
15.7243,-0.0013938
15.7586,-0.00109372
15.7996,-0.000990519
15.8356,-0.00111732
15.9661,-0.000908838
15.9935,-0.000283398
16.1148,-0.00127265
16.272,-0.000926644
16.3237,-0.000834806
16.4021,-0.00103184
16.5066,-0.000796439
16.5439,-0.00105432
16.5991,-0.000948898
16.6642,-0.000871338
16.7264,-0.000909531
16.8081,-0.000985333
16.8951,-0.000984509
16.9841,-0.00103459
17.1017,-0.00123916
17.1411,-0.0011241
17.3255,-0.000795542
17.358,-0.00100963
17.3808,-0.000891046
17.4049,-0.000963515
17.507,-0.000608985
17.5658,-0.000867363
17.6134,-0.000987885
17.6987,-0.000922954
17.8381,0.000916494
18.029,-0.000935586
18.1706,-0.00117524
18.2534,-0.00140715
18.3739,-0.00016176
18.7174,-0.00141499
18.7533,-0.00150427
18.8386,-0.00115602
19.1316,-0.00207205
19.246,-0.000148777
19.3016,-0.00151038
19.3512,-0.0017669
19.4464,-0.00039511
19.5884,-0.00100773
19.6887,-0.00180898
19.8259,-0.000537608
19.9227,-0.00122085
20.0098,-0.00108446
20.1913,-0.00130188
20.2339,-0.00142528
20.3326,-0.00109317
20.381,0.000476565
20.425,-0.000345112
20.5704,-0.00129017
20.6618,-0.000872934
20.7897,-0.00178139
20.9866,-0.00156525
21.1636,-0.000677296
21.2556,-0.00102589
21.3324,-0.000281606
21.3703,-0.000808042
21.4436,-0.0011568
21.5337,-0.00108491
21.5845,0.000103042
21.6673,0.000547651
21.7696,-0.00124034
21.8405,-0.000449989
21.9524,-0.00146912
22.0791,-0.000849281
22.1374,-0.000502295
22.3749,-0.00106688
22.5372,-0.00138914
22.666,-0.0013943
22.9124,-0.00165209
22.9995,-0.0016627
23.0744,-0.00234364
23.1217,-0.00131918
23.3189,-0.000677356
23.5596,-0.00138946
23.6037,-0.000914481
23.7498,-0.00168667
23.8172,-0.00197696
23.8965,-0.00189109
24.2502,0.00162147
24.4877,-0.0032099
24.6612,-0.00139851
24.9141,-0.00230715
24.9652,-0.00154161
25.0635,-0.000880027
25.1566,-0.00121122
25.3442,-0.0010507
25.6085,-0.00162513
25.7118,-0.00215436
25.9841,-0.00178799
26.0523,-0.000743262
26.254,-0.00115323
26.5814,-0.00132297
26.6408,-0.000187124
26.7028,-0.000935467
26.7555,-0.00114872
26.9086,0.000126694
27.0268,2.44E-05
27.0705,-0.000612557
27.1313,-0.000608076
27.1885,-0.000573472
27.2899,-0.00168019
27.3934,0.000837333
27.6948,0.00371563
27.8425,0.00172982
27.9842,0.00762678
28.0893,0.0073
28.2172,0.0069281
28.4077,0.00965625
28.5794,0.00799652
28.7,0.00799652
