# From Humes et al. 2024
Wavelength          Emissivity
13.60384            0.8686066
13.60384            0.8686066
13.93969            0.8755434
13.93969            0.8755434
13.93969            0.8755434
13.93969            0.8755434
13.93969            0.8755434
14.22155            0.8802152
14.22155            0.8802152
14.22155            0.8802152
14.22155            0.8802152
14.22155            0.8802152
14.62801            0.8870267
14.62801            0.8870267
14.94323            0.8924073
14.94323            0.8924073
14.94323            0.8924073
14.94323            0.8924073
14.94323            0.8924073
14.94323            0.8924073
14.94323            0.8924073
15.27846            0.9005228
15.27846            0.9005228
15.27846            0.9005228
15.27846            0.9005228
15.27846            0.9005228
15.27846            0.9005228
15.27846            0.9005228
15.61852            0.9084882
15.61852            0.9084882
15.61852            0.9084882
15.61852            0.9084882
15.61852            0.9084882
15.99307            0.9135374
15.99307            0.9135374
15.99307            0.9135374
15.99307            0.9135374
15.99307            0.9135374
15.99307            0.9135374
16.37449            0.9146469
16.37757            0.9146469
16.37757            0.9146469
16.37757            0.9146469
16.37757            0.9146469
16.37757            0.9146469
16.7163             0.9149486
16.7163             0.9149486
16.7163             0.9149486
16.7163             0.9149486
16.7163             0.9149486
16.7163             0.9149486
16.7163             0.9149486
16.7163             0.9149486
17.13416            0.9129094
17.13416            0.9129094
17.13416            0.9129094
17.13416            0.9129094
17.13416            0.9129094
17.13416            0.9129094
17.62623            0.9081898
17.62941            0.9082426
17.62941            0.9082426
17.62941            0.9082426
17.62941            0.9082426
17.62941            0.9082426
17.62941            0.9082426
17.62941            0.9082426
18.01781            0.9053923
18.01781            0.9053923
18.01781            0.9053923
18.01781            0.9053923
18.01781            0.9053923
18.01781            0.9053923
18.01781            0.9053923
18.01781            0.9053923
18.01781            0.9053923
18.01781            0.9053923
18.4251             0.9017707
18.4251             0.9017707
18.4251             0.9017707
18.4251             0.9017707
18.4251             0.9017707
18.4251             0.9017707
18.4251             0.9017707
18.99046            0.8977005
18.99046            0.8977005
18.99046            0.8977005
18.99046            0.8977005
18.99046            0.8977005
19.61371            0.8924255
19.61371            0.8924255
19.61371            0.8924255
19.61371            0.8924255
19.61371            0.8924255
19.61371            0.8924255
19.61371            0.8924255
20.17712            0.8879037
20.17712            0.8879532
20.17712            0.8879532
20.17712            0.8879532
20.17712            0.8879532
20.17712            0.8879532
20.17712            0.8879532
20.64631            0.8851854
20.64631            0.8851854
20.64631            0.8851854
20.64631            0.8851854
20.64631            0.8851854
20.64631            0.8851854
20.64631            0.8851854
21.19104            0.8819939
21.19104            0.8819939
21.19104            0.8819939
21.19104            0.8819939
21.19104            0.8819939
21.83728            0.8791717
21.83728            0.8791239
21.83728            0.8791239
21.83728            0.8791239
21.83728            0.8791239
21.83728            0.8791239
22.36333            0.8743483
22.36333            0.8743483
22.36333            0.8743483
22.36333            0.8743483
22.36333            0.8743483
22.36333            0.8743483
22.96297            0.8728268
22.96297            0.8728268
22.96297            0.8728268
22.96297            0.8728268
22.96297            0.8728268
23.61106            0.8687006
23.61106            0.8687006
23.61106            0.8687006
23.61106            0.8687006
23.61106            0.8687006
23.61106            0.8687006
24.37627            0.8640684
24.37627            0.8640684
24.37627            0.8640684
24.37627            0.8640684
24.37627            0.8640684
24.37627            0.8640684
24.37627            0.8640684
24.37627            0.8640684
25.18068            0.8599571
25.18068            0.8599571
25.18068            0.8599571
25.18068            0.8599571
25.18068            0.8599571
25.18068            0.8599571
26.19182            0.853322
26.19182            0.853322
26.19182            0.853322
26.19182            0.853322
26.19182            0.853322
26.19182            0.853322
26.19182            0.853322
26.89534            0.8508954
26.89534            0.8508954
26.89534            0.8508954
26.89534            0.8508954
26.89534            0.8508954
27.64094            0.8466951
27.64094            0.8466951
27.64094            0.8466951
27.64094            0.8466951
27.64094            0.8466951
27.64094            0.8466951
27.64094            0.8466951
27.64094            0.8466951
28.27559            0.842536
28.27559            0.842536
28.27559            0.842536
28.27559            0.842536
28.27559            0.842536
28.27559            0.842536
28.27559            0.842536
28.27559            0.842536
28.27559            0.842536
28.84033            0.8407853
28.84033            0.8407853
28.84033            0.8407853
28.84033            0.8407853
28.84033            0.8407853
28.84033            0.8407853
28.84033            0.8407853
29.37736            0.8388912
29.37736            0.8388912
29.37736            0.8388912
29.37736            0.8388912
